DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2002,3.479,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2003,3.43,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2004,3.906,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2005,7.068,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2006,4.6,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2007,3.244,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2008,5.053,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2009,5.143,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2010,3.71,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2011,2.594,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT124,2012,3.613,p,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2000,4.676,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2001,4.946,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2002,2.77,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2003,1.983,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2004,4.695,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2005,3.491,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT125,2006,7.597,,
