DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH03,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH03,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH04,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH04,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH04,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH05,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH05,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH05,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH06,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH06,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CH06,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ01,CZ,2005,480,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ01,CZ,2010,1360,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ01,CZ,2015,4071,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ01,CZ,2020,2103,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ02,CZ,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ02,CZ,2010,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ02,CZ,2015,28,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ02,CZ,2020,22,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ03,CZ,2005,370,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ03,CZ,2010,1840,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ03,CZ,2015,2375,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ03,CZ,2020,1554,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ04,CZ,2005,30,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ04,CZ,2010,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ04,CZ,2015,71,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ04,CZ,2020,42,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ05,CZ,2005,40,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ05,CZ,2010,80,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ05,CZ,2015,190,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ05,CZ,2020,399,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ06,CZ,2005,9540,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ06,CZ,2010,7610,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ06,CZ,2015,11309,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ06,CZ,2020,7252,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ07,CZ,2005,310,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ07,CZ,2010,210,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ07,CZ,2015,505,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ07,CZ,2020,894,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ08,CZ,2005,290,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ08,CZ,2010,180,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ08,CZ,2015,303,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,CZ08,CZ,2020,594,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE11,DE,2005,1061,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE12,DE,2005,477,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE13,DE,2005,283,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE14,DE,2005,464,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE21,DE,2005,4083,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE22,DE,2005,165,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE23,DE,2005,342,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE24,DE,2005,100,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE25,DE,2005,579,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE26,DE,2005,422,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE27,DE,2005,438,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE30,DE,2005,330,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE41,DE,2005,12,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE42,DE,2005,19,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE50,DE,2005,93,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE60,DE,2005,258,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE71,DE,2005,752,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE72,DE,2005,107,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE73,DE,2005,245,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE80,DE,2005,28,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE91,DE,2005,208,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE92,DE,2005,228,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE93,DE,2005,75,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DE94,DE,2005,112,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEA1,DE,2005,376,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEA2,DE,2005,385,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEA3,DE,2005,99,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEA4,DE,2005,99,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEA5,DE,2005,183,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEB1,DE,2005,214,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEB2,DE,2005,50,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEB3,DE,2005,236,,
