DATAFLOW,LAST UPDATE,freq,direct,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2010,20,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2011,42,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2012,5,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2013,7,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEBRU,2014,6,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,1997,18691,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,1998,20962,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,1999,19857,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2000,20326,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2001,19866,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2002,19265,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2003,17721,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2004,16756,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2005,16104,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2006,19091,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2007,20076,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2008,21126,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2009,15681,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2010,20799,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2011,20421,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2012,19275,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2013,19262,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2014,22103,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2015,19572,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2016,22580,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2017,25846,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2018,26280,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2019,25665,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2020,22324,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2021,24787,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2022,24953,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2023,22569,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2024,22342,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEGNE,2025,23816,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,1997,166,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,1998,151,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,1999,110,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2000,114,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2001,109,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2002,95,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2003,126,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2004,119,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2005,130,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2006,118,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2007,66,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2008,23,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2009,16,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2010,13,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2011,24,,
